name,script_path
test,E:/code/PyQt-Fluent-Widgets/PyQt-Fluent-Widgets/webautomation/save/test.py
test2,E:/code/PyQt-Fluent-Widgets/PyQt-Fluent-Widgets/webautomation/save/test2.py
